createdAt,valveNumber,textDetail,alarmFaultId,predictingAlgoId,alarmActivated,criticityId
2024-01-02 13:00:00,82,Bottle burst,368,61,1,2
2024-01-02 15:00:00,82,Bottle burst,368,61,1,2
2024-01-02 19:00:00,134,Bottle burst,368,61,1,2
2024-01-05 21:00:00,23,Bottle burst,368,61,1,2
2024-01-06 01:00:00,23,back to normal,368,61,0,1
2024-01-08 17:00:00,108,Bottle burst,368,61,1,2
2024-01-08 21:00:00,108,back to normal,368,61,0,1
2024-01-11 07:00:00,82,Bottle burst,368,61,1,2
2024-01-11 09:00:00,82,Bottle burst,368,61,1,2
2024-01-11 13:00:00,82,Bottle burst,368,61,1,2
2024-01-11 17:00:00,94,Bottle burst,368,61,1,2
2024-01-11 21:00:00,94,back to normal,368,61,0,1
2024-01-17 07:00:00,107,Bottle burst,368,61,1,2
2024-01-17 09:00:00,107,back to normal,368,61,0,1
2024-01-17 13:00:00,107,Bottle burst,368,61,1,2
2024-01-17 15:00:00,107,back to normal,368,61,0,1
2024-01-17 17:00:00,107,Bottle burst,368,61,1,2
2024-01-17 21:00:00,107,back to normal,368,61,0,1
2024-01-18 13:00:00,11,Bottle burst,368,61,1,2
2024-01-18 13:00:00,107,Bottle burst,368,61,1,2
2024-01-18 15:00:00,11,back to normal,368,61,0,1
2024-01-18 15:00:00,107,back to normal,368,61,0,1
2024-01-18 17:00:00,11,Bottle burst,368,61,1,2
2024-01-18 19:00:00,11,back to normal,368,61,0,1
2024-01-19 05:00:00,148,Bottle burst,368,61,1,2
2024-01-19 07:00:00,148,back to normal,368,61,0,1
2024-01-23 21:00:00,134,Bottle burst,368,61,1,2
2024-01-24 01:00:00,111,Bottle burst,368,61,1,2
2024-01-24 01:00:00,134,Bottle burst,368,61,1,2
2024-01-24 03:00:00,134,Bottle burst,368,61,1,2
2024-01-24 05:00:00,111,back to normal,368,61,0,1
2024-01-24 05:00:00,134,Bottle burst,368,61,1,2
2024-01-31 17:00:00,148,Bottle burst,368,61,1,2
2024-01-31 19:00:00,148,back to normal,368,61,0,1
2024-02-02 01:00:00,3,Bottle burst,368,61,1,2
2024-02-02 01:00:00,23,Bottle burst,368,61,1,2
2024-02-02 01:00:00,43,Bottle burst,368,61,1,2
2024-02-02 01:00:00,63,Bottle burst,368,61,1,2
2024-02-02 01:00:00,83,Bottle burst,368,61,1,2
2024-02-02 01:00:00,103,Bottle burst,368,61,1,2
2024-02-02 01:00:00,123,Bottle burst,368,61,1,2
2024-02-02 03:00:00,3,back to normal,368,61,0,1
2024-02-02 03:00:00,43,back to normal,368,61,0,1
2024-02-02 03:00:00,63,back to normal,368,61,0,1
2024-02-02 03:00:00,83,back to normal,368,61,0,1
2024-02-02 03:00:00,103,back to normal,368,61,0,1
2024-02-02 03:00:00,123,back to normal,368,61,0,1
2024-02-05 17:00:00,39,Bottle burst,368,61,1,2
2024-02-05 21:00:00,39,back to normal,368,61,0,1
2024-02-05 23:00:00,39,Bottle burst,368,61,1,2
2024-02-06 05:00:00,39,back to normal,368,61,0,1
2024-02-06 11:00:00,39,Bottle burst,368,61,1,2
2024-02-06 15:00:00,39,back to normal,368,61,0,1
2024-02-12 13:00:00,134,Bottle burst,368,61,1,2
2024-02-12 15:00:00,134,Bottle burst,368,61,1,2
2024-02-14 19:00:00,82,back to normal,368,61,0,1
2024-02-14 19:00:00,134,back to normal,368,61,0,1
2024-02-15 17:00:00,27,Bottle burst,368,61,1,2
2024-02-15 19:00:00,27,back to normal,368,61,0,1
2024-02-21 11:00:00,23,back to normal,368,61,0,1
2024-02-23 07:00:00,19,Bottle burst,368,61,1,2
2024-02-23 07:00:00,59,Bottle burst,368,61,1,2
2024-02-23 07:00:00,79,Bottle burst,368,61,1,2
2024-02-23 07:00:00,119,Bottle burst,368,61,1,2
2024-02-23 11:00:00,19,back to normal,368,61,0,1
2024-02-23 11:00:00,59,back to normal,368,61,0,1
2024-02-23 11:00:00,79,back to normal,368,61,0,1
2024-02-23 11:00:00,119,back to normal,368,61,0,1
2024-02-27 13:00:00,97,Bottle burst,368,61,1,2
2024-02-27 17:00:00,97,back to normal,368,61,0,1
2024-03-12 15:00:00,134,Bottle burst,368,61,1,2
2024-03-12 19:00:00,134,back to normal,368,61,0,1
2024-03-13 19:00:00,150,Bottle burst,368,61,1,2
2024-03-14 01:00:00,150,back to normal,368,61,0,1
2024-05-24 22:00:00,107,Bottle burst,368,61,1,2
2024-05-25 02:00:00,107,back to normal,368,61,0,1
2024-05-27 00:00:00,90,Bottle burst,368,61,1,2
2024-05-27 00:00:00,107,Bottle burst,368,61,1,2
2024-05-27 02:00:00,90,back to normal,368,61,0,1
2024-05-27 02:00:00,107,back to normal,368,61,0,1
2024-05-27 08:00:00,90,Bottle burst,368,61,1,2
2024-05-27 12:00:00,90,back to normal,368,61,0,1
2024-07-31 14:00:00,57,Bottle burst,368,61,1,2
2024-07-31 18:00:00,57,back to normal,368,61,0,1
2024-08-01 16:00:00,7,Bottle burst,368,61,1,2
2024-08-01 16:00:00,27,Bottle burst,368,61,1,2
2024-08-01 18:00:00,7,back to normal,368,61,0,1
2024-08-01 18:00:00,27,back to normal,368,61,0,1
2024-08-05 14:00:00,38,Bottle burst,368,61,1,2
2024-08-05 16:00:00,38,back to normal,368,61,0,1
2024-08-06 06:00:00,38,Bottle burst,368,61,1,2
2024-08-06 14:00:00,38,back to normal,368,61,0,1
2024-08-08 00:00:00,22,Bottle burst,368,61,1,2
2024-08-08 04:00:00,22,back to normal,368,61,0,1
2024-09-16 20:00:00,84,Bottle burst,368,61,1,2
2024-09-16 22:00:00,84,back to normal,368,61,0,1
2024-10-25 06:00:00,111,Bottle burst,368,61,1,2
2024-10-25 08:00:00,111,back to normal,368,61,0,1
2024-11-12 21:00:00,42,Bottle burst,368,61,1,2
2024-11-13 01:00:00,42,back to normal,368,61,0,1
2024-11-29 19:00:00,135,Bottle burst,368,61,1,2
2024-11-29 23:00:00,135,back to normal,368,61,0,1
